Prior,n_trials,heads,tails,mean,mode,MLE,CI_low,CI_high
"Beta(2,5)",5,3,2,0.4166666666666667,0.4,0.6,0.167,0.6930000000000001
"Beta(2,5)",50,39,11,0.7192982456140351,0.7272727272727273,0.78,0.597,0.8270000000000001
"Beta(2,5)",100,70,30,0.6728971962616822,0.6761904761904762,0.7,0.581,0.759
"Beta(2,5)",500,346,154,0.6863905325443787,0.6871287128712872,0.692,0.645,0.727
"Beta(1,1)",5,3,2,0.5714285714285714,0.6,0.6,0.223,0.881
"Beta(1,1)",50,39,11,0.7692307692307693,0.78,0.78,0.647,0.873
"Beta(1,1)",100,70,30,0.696078431372549,0.7,0.7,0.603,0.781
"Beta(1,1)",500,346,154,0.6912350597609562,0.692,0.692,0.651,0.731
"Beta(10,10)",5,3,2,0.52,0.5217391304347826,0.6,0.329,0.709
"Beta(10,10)",50,39,11,0.7,0.7058823529411765,0.78,0.589,0.801
"Beta(10,10)",100,70,30,0.6666666666666666,0.6694915254237288,0.7,0.581,0.747
"Beta(10,10)",500,346,154,0.6846153846153846,0.6853281853281853,0.692,0.645,0.723
"Beta(5,1)",5,3,2,0.7272727272727273,0.7777777777777778,0.6,0.443,0.933
"Beta(5,1)",50,39,11,0.7857142857142857,0.7962962962962963,0.78,0.671,0.881
"Beta(5,1)",100,70,30,0.7075471698113207,0.7115384615384616,0.7,0.617,0.789
"Beta(5,1)",500,346,154,0.6936758893280632,0.6944444444444444,0.692,0.653,0.733
