n,prior_a,prior_b,prior_label,seed,nh,p_freq,p_bayes,pi_est,rel_err,alpha_post,beta_post
10,1,1,"B(1,1)",602,9,0.9,0.8333333333333334,3.3333333333333335,0.06103295394596899,10,2
10,1,1,"B(1,1)",1602,9,0.9,0.8333333333333334,3.3333333333333335,0.06103295394596899,10,2
10,1,1,"B(1,1)",2602,8,0.8,0.75,3.0,0.04507034144862795,9,3
10,1,1,"B(1,1)",3602,8,0.8,0.75,3.0,0.04507034144862795,9,3
10,1,1,"B(1,1)",4602,8,0.8,0.75,3.0,0.04507034144862795,9,3
10,2,2,"B(2,2)",5602,8,0.8,0.7142857142857143,2.857142857142857,0.0905431823320266,10,4
10,2,2,"B(2,2)",6602,7,0.7,0.6428571428571429,2.5714285714285716,0.1814888640988239,9,5
10,2,2,"B(2,2)",7602,8,0.8,0.7142857142857143,2.857142857142857,0.0905431823320266,10,4
10,2,2,"B(2,2)",8602,8,0.8,0.7142857142857143,2.857142857142857,0.0905431823320266,10,4
10,2,2,"B(2,2)",9602,8,0.8,0.7142857142857143,2.857142857142857,0.0905431823320266,10,4
10,10,10,"B(10,10)",10602,9,0.9,0.6333333333333333,2.533333333333333,0.19361495500106363,19,11
10,10,10,"B(10,10)",11602,10,1.0,0.6666666666666666,2.6666666666666665,0.15117363684322488,20,10
10,10,10,"B(10,10)",12602,8,0.8,0.6,2.4,0.23605627315890237,18,12
10,10,10,"B(10,10)",13602,9,0.9,0.6333333333333333,2.533333333333333,0.19361495500106363,19,11
10,10,10,"B(10,10)",14602,5,0.5,0.5,2.0,0.3633802276324186,15,15
10,50,50,"B(50,50)",15602,7,0.7,0.5181818181818182,2.0727272727272728,0.34023041772814294,57,53
10,50,50,"B(50,50)",16602,6,0.6,0.509090909090909,2.036363636363636,0.35180532268028086,56,54
10,50,50,"B(50,50)",17602,9,0.9,0.5363636363636364,2.1454545454545455,0.31708060782386727,59,51
10,50,50,"B(50,50)",18602,7,0.7,0.5181818181818182,2.0727272727272728,0.34023041772814294,57,53
10,50,50,"B(50,50)",19602,10,1.0,0.5454545454545454,2.1818181818181817,0.30550570287172946,60,50
10,10,5,"B(10,5)",20602,6,0.6,0.64,2.56,0.18512669136949583,16,9
10,10,5,"B(10,5)",21602,8,0.8,0.72,2.88,0.08326752779068286,18,7
10,10,5,"B(10,5)",22602,6,0.6,0.64,2.56,0.18512669136949583,16,9
10,10,5,"B(10,5)",23602,7,0.7,0.68,2.72,0.1341971095800893,17,8
10,10,5,"B(10,5)",24602,6,0.6,0.64,2.56,0.18512669136949583,16,9
10,5,10,"B(5,10)",25602,8,0.8,0.52,2.08,0.33791543673771535,13,12
10,5,10,"B(5,10)",26602,7,0.7,0.48,1.92,0.3888450185271219,12,13
10,5,10,"B(5,10)",27602,8,0.8,0.52,2.08,0.33791543673771535,13,12
10,5,10,"B(5,10)",28602,6,0.6,0.44,1.76,0.4397746003165284,11,14
10,5,10,"B(5,10)",29602,7,0.7,0.48,1.92,0.3888450185271219,12,13
100,1,1,"B(1,1)",533,74,0.74,0.7352941176470589,2.9411764705882355,0.06379445240061557,75,27
100,1,1,"B(1,1)",1533,79,0.79,0.7843137254901961,3.1372549019607843,0.0013807492273233584,80,22
100,1,1,"B(1,1)",2533,84,0.84,0.8333333333333334,3.3333333333333335,0.06103295394596899,85,17
100,1,1,"B(1,1)",3533,83,0.83,0.8235294117647058,3.2941176470588234,0.04855021331131044,84,18
100,1,1,"B(1,1)",4533,74,0.74,0.7352941176470589,2.9411764705882355,0.06379445240061557,75,27
100,2,2,"B(2,2)",5533,78,0.78,0.7692307692307693,3.076923076923077,0.020584965588336303,80,24
100,2,2,"B(2,2)",6533,81,0.81,0.7980769230769231,3.1923076923076925,0.016143098202101094,83,21
100,2,2,"B(2,2)",7533,71,0.71,0.7019230769230769,2.8076923076923075,0.10628378109935699,73,31
100,2,2,"B(2,2)",8533,78,0.78,0.7692307692307693,3.076923076923077,0.020584965588336303,80,24
100,2,2,"B(2,2)",9533,75,0.75,0.7403846153846154,2.9615384615384617,0.0573130293787737,77,27
100,10,10,"B(10,10)",10533,81,0.81,0.7583333333333333,3.033333333333333,0.034460011909168295,91,29
100,10,10,"B(10,10)",11533,79,0.79,0.7416666666666667,2.966666666666667,0.0556806709880876,89,31
100,10,10,"B(10,10)",12533,75,0.75,0.7083333333333334,2.8333333333333335,0.09812198914592635,85,35
100,10,10,"B(10,10)",13533,75,0.75,0.7083333333333334,2.8333333333333335,0.09812198914592635,85,35
100,10,10,"B(10,10)",14533,76,0.76,0.7166666666666667,2.8666666666666667,0.0875116596064667,86,34
100,50,50,"B(50,50)",15533,81,0.81,0.655,2.62,0.16602809819846837,131,69
100,50,50,"B(50,50)",16533,78,0.78,0.64,2.56,0.18512669136949583,128,72
100,50,50,"B(50,50)",17533,81,0.81,0.655,2.62,0.16602809819846837,131,69
100,50,50,"B(50,50)",18533,79,0.79,0.645,2.58,0.17876049364582,129,71
100,50,50,"B(50,50)",19533,76,0.76,0.63,2.52,0.19785908681684747,126,74
100,10,5,"B(10,5)",20533,76,0.76,0.7478260869565218,2.991304347826087,0.04783825350240003,86,29
100,10,5,"B(10,5)",21533,79,0.79,0.7739130434782608,3.0956521739130434,0.01462330885713496,89,26
100,10,5,"B(10,5)",22533,82,0.82,0.8,3.2,0.018591635788130244,92,23
100,10,5,"B(10,5)",23533,82,0.82,0.8,3.2,0.018591635788130244,92,23
100,10,5,"B(10,5)",24533,76,0.76,0.7478260869565218,2.991304347826087,0.04783825350240003,86,29
100,5,10,"B(5,10)",25533,84,0.84,0.7739130434782608,3.0956521739130434,0.01462330885713496,89,26
100,5,10,"B(5,10)",26533,78,0.78,0.7217391304347827,2.8869565217391306,0.0810531981476651,83,32
100,5,10,"B(5,10)",27533,76,0.76,0.7043478260869566,2.8173913043478263,0.10319649457784184,81,34
100,5,10,"B(5,10)",28533,82,0.82,0.7565217391304347,3.026086956521739,0.03676660528731172,87,28
100,5,10,"B(5,10)",29533,78,0.78,0.7217391304347827,2.8869565217391306,0.0810531981476651,83,32
1000,1,1,"B(1,1)",173,771,0.771,0.7704590818363274,3.0818363273453095,0.019021029405643028,772,230
1000,1,1,"B(1,1)",1173,800,0.8,0.7994011976047904,3.197604790419162,0.017829216899067253,801,201
1000,1,1,"B(1,1)",2173,790,0.79,0.7894211576846307,3.157684630738523,0.005122235414684338,791,211
1000,1,1,"B(1,1)",3173,799,0.799,0.7984031936127745,3.193612774451098,0.016558518750628935,800,202
1000,1,1,"B(1,1)",4173,783,0.783,0.782435129740519,3.129740518962076,0.003772651624383617,784,218
1000,2,2,"B(2,2)",5173,778,0.778,0.7768924302788844,3.1075697211155378,0.01082983576351902,780,224
1000,2,2,"B(2,2)",6173,788,0.788,0.7868525896414342,3.147410358565737,0.0018518330087435452,790,214
1000,2,2,"B(2,2)",7173,762,0.762,0.7609561752988048,3.043824701195219,0.031120505799139126,764,240
1000,2,2,"B(2,2)",8173,800,0.8,0.798804780876494,3.195219123505976,0.017069835535458624,802,202
1000,2,2,"B(2,2)",9173,794,0.794,0.7928286852589641,3.1713147410358564,0.009460834272101084,796,208
1000,10,10,"B(10,10)",10173,789,0.789,0.7833333333333333,3.1333333333333333,0.0026290232907892,799,221
1000,10,10,"B(10,10)",11173,817,0.817,0.8107843137254902,3.243137254901961,0.0323226504862545,827,193
1000,10,10,"B(10,10)",12173,792,0.792,0.7862745098039216,3.145098039215686,0.0011157988996083243,802,218
1000,10,10,"B(10,10)",13173,773,0.773,0.7676470588235295,3.070588235294118,0.022601408306242663,783,237
1000,10,10,"B(10,10)",14173,767,0.767,0.7617647058823529,3.0470588235294116,0.03009105268703785,777,243
1000,50,50,"B(50,50)",15173,800,0.8,0.7727272727272727,3.090909090909091,0.016133079068283367,850,250
1000,50,50,"B(50,50)",16173,797,0.797,0.77,3.08,0.01960555055392467,847,253
1000,50,50,"B(50,50)",17173,792,0.792,0.7654545454545455,3.061818181818182,0.02539300302999356,842,258
1000,50,50,"B(50,50)",18173,760,0.76,0.7363636363636363,2.9454545454545453,0.06243269887683475,810,290
